FullName,PhotoUrl,ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal,BestPosition
Mergim Berisha,https://cdn.sofifa.com/players/237/321/22_60.png,76,71,77,32,74,76,ST
Joe Willock,https://cdn.sofifa.com/players/237/329/22_60.png,72,68,76,61,77,69,CAM
Christian Luyindama,https://cdn.sofifa.com/players/237/556/22_60.png,37,49,76,74,52,85,CB
Yvan Neyou,https://cdn.sofifa.com/players/237/626/22_60.png,60,67,65,73,76,67,CM
Takefusa Kubo,https://cdn.sofifa.com/players/237/681/22_60.png,66,68,81,39,83,56,CAM
Nicolás Domínguez,https://cdn.sofifa.com/players/237/819/22_60.png,66,70,75,71,75,77,CM
Michael Murillo,https://cdn.sofifa.com/players/237/841/22_60.png,57,68,83,71,71,75,RB
Mama Samba Baldé,https://cdn.sofifa.com/players/237/960/22_60.png,72,67,91,50,73,79,ST
Ignacio Vidal Miralles,https://cdn.sofifa.com/players/238/305/22_60.png,55,69,77,71,70,65,RB
Marin Pongračić,https://cdn.sofifa.com/players/238/370/22_60.png,26,51,72,74,63,78,CB
Ruben Vargas,https://cdn.sofifa.com/players/238/581/22_60.png,69,67,83,54,79,65,RM
Bruno Vinícius Souza Ramos,https://cdn.sofifa.com/players/238/858/22_60.png,67,71,79,46,80,61,LM
Óscar Rodríguez Arnaiz,https://cdn.sofifa.com/players/239/335/22_60.png,74,74,63,49,78,55,CAM
Frank Onyeka,https://cdn.sofifa.com/players/239/529/22_60.png,58,66,87,74,72,82,CDM
Ryan Sessegnon,https://cdn.sofifa.com/players/235/883/22_60.png,65,70,82,68,76,66,LM
Ghislain Konan,https://cdn.sofifa.com/players/235/634/22_60.png,48,68,79,70,75,71,LB
Dylan Bronn,https://cdn.sofifa.com/players/235/565/22_60.png,61,67,66,76,65,76,CB
Maxi Moralez,https://cdn.sofifa.com/players/183/895/22_60.png,71,74,71,52,77,49,CAM
Marcus Berg,https://cdn.sofifa.com/players/176/733/22_60.png,75,63,71,35,72,71,ST
César Montes,https://cdn.sofifa.com/players/229/980/22_60.png,44,62,60,75,64,76,CB
Alfonso Espino,https://cdn.sofifa.com/players/247/131/22_60.png,61,64,79,71,71,75,LB
Jorman Campuzano,https://cdn.sofifa.com/players/242/267/22_60.png,40,62,75,73,64,75,CDM
Fernando Marçal de Oliveira,https://cdn.sofifa.com/players/207/707/22_60.png,56,71,71,75,72,71,LB
Jean-Paul Boëtius,https://cdn.sofifa.com/players/205/402/22_60.png,69,74,72,44,79,65,RM
Ciaran Clark,https://cdn.sofifa.com/players/183/129/22_60.png,51,53,51,77,54,73,CB
Bill Hamid,https://cdn.sofifa.com/players/194/904/22_60.png,71,69,76,41,75,77,GK
Kevin Dawson,https://cdn.sofifa.com/players/253/272/22_60.png,73,71,74,32,73,74,GK
Nikola Vukčević,https://cdn.sofifa.com/players/221/016/22_60.png,62,69,54,76,71,79,CDM
Atiba Hutchinson,https://cdn.sofifa.com/players/134/744/22_60.png,64,73,60,74,70,72,CDM
Nikola Kalinić,https://cdn.sofifa.com/players/185/431/22_60.png,74,64,63,42,73,67,ST
Rasmus Falk,https://cdn.sofifa.com/players/201/303/22_60.png,65,72,80,64,81,75,CAM
Rúben Barcelos De Sousa Lameiras,https://cdn.sofifa.com/players/225/363/22_60.png,71,72,76,42,79,64,CAM
Alexandr Kokorin,https://cdn.sofifa.com/players/192/086/22_60.png,74,71,78,43,78,67,ST
Andrea Poli,https://cdn.sofifa.com/players/185/174/22_60.png,64,74,61,73,76,66,CDM
Carlos Fernández Luna,https://cdn.sofifa.com/players/221/014/22_60.png,77,64,69,27,76,71,ST
Riccardo Saponara,https://cdn.sofifa.com/players/201/046/22_60.png,67,76,68,41,79,58,CAM
Franco Cervi,https://cdn.sofifa.com/players/223/061/22_60.png,65,68,88,48,80,55,LM
Jaïro Riedewald,https://cdn.sofifa.com/players/221/269/22_60.png,56,74,60,74,69,70,CDM
Myrto Uzuni,https://cdn.sofifa.com/players/261/204/22_60.png,71,62,85,27,78,65,LW
Martín Montoya Torralbo,https://cdn.sofifa.com/players/194/644/22_60.png,60,70,74,71,72,70,RB
Martín Zubimendi Ibáñez,https://cdn.sofifa.com/players/248/148/22_60.png,61,72,63,75,71,70,CDM
Georges-Kévin Nkoudou,https://cdn.sofifa.com/players/219/732/22_60.png,67,68,94,34,80,59,RW
Paulo Victor Mileo Vidotti,https://cdn.sofifa.com/players/193/107/22_60.png,72,70,71,44,81,75,GK
Adam Lallana,https://cdn.sofifa.com/players/180/819/22_60.png,70,78,67,62,79,56,CAM
José Juan Macías,https://cdn.sofifa.com/players/239/592/22_60.png,74,59,73,25,75,62,ST
Caleb Ekuban,https://cdn.sofifa.com/players/239/795/22_60.png,71,66,86,28,73,84,RM
Alexis Mac Allister,https://cdn.sofifa.com/players/239/837/22_60.png,76,77,70,56,74,62,CAM
Luis Mejía,https://cdn.sofifa.com/players/202/089/22_60.png,69,67,79,54,76,71,GK
Mohamed Simakan,https://cdn.sofifa.com/players/243/854/22_60.png,36,62,68,76,63,77,CB
Nehuén Pérez,https://cdn.sofifa.com/players/244/206/22_60.png,25,46,61,76,43,74,CB
Alexander Bah,https://cdn.sofifa.com/players/245/235/22_60.png,60,66,92,69,70,78,RB
Marash Kumbulla,https://cdn.sofifa.com/players/245/426/22_60.png,32,53,49,77,56,76,CB
Odion Ighalo,https://cdn.sofifa.com/players/185/195/22_60.png,77,65,67,42,73,75,ST
Ryan Sessegnon,https://cdn.sofifa.com/players/235/883/22_60.png,65,70,82,68,76,66,LM
Lautaro Giannetti,https://cdn.sofifa.com/players/215/147/22_60.png,34,55,71,76,55,77,CB
Imran Louza,https://cdn.sofifa.com/players/242/794/22_60.png,64,74,61,63,77,52,CM
Andraž Šporar,https://cdn.sofifa.com/players/231/786/22_60.png,75,66,76,19,72,70,ST
Emilio Alex Piodão Esser,https://cdn.sofifa.com/players/230/250/22_60.png,64,69,71,74,70,76,CDM
Fabián Castillo,https://cdn.sofifa.com/players/202/858/22_60.png,75,63,92,43,82,73,RW
Cristian Pellerano,https://cdn.sofifa.com/players/210/281/22_60.png,65,67,54,70,60,80,CDM
Dênis Rubens Stein Rebelo,https://cdn.sofifa.com/players/230/502/22_60.png,76,61,76,30,73,64,ST
Mahdi Camara,https://cdn.sofifa.com/players/243/631/22_60.png,57,67,63,73,71,72,CDM
Jóhann Berg Guðmundsson,https://cdn.sofifa.com/players/191/076/22_60.png,73,76,67,61,75,67,RM
Leôncio Roger Vimieiro Madeira,https://cdn.sofifa.com/players/230/244/22_60.png,52,66,73,74,70,71,LB
Waldemar Anton,https://cdn.sofifa.com/players/229/476/22_60.png,46,57,66,76,64,79,CB
Jonathan Gradit,https://cdn.sofifa.com/players/221/284/22_60.png,29,60,71,75,66,82,CB
Caner Erkin,https://cdn.sofifa.com/players/171/875/22_60.png,72,77,69,68,75,72,LB
Alexandr Sobolev,https://cdn.sofifa.com/players/236/899/22_60.png,75,58,71,42,71,72,ST
Michel Aebischer,https://cdn.sofifa.com/players/236/898/22_60.png,65,75,72,65,75,75,CM
Mohamed Elyounoussi,https://cdn.sofifa.com/players/203/362/22_60.png,74,72,75,54,77,68,LM
Leonardo Bittencourt,https://cdn.sofifa.com/players/203/106/22_60.png,68,71,74,58,82,60,CAM
Adrià Giner Pedrosa,https://cdn.sofifa.com/players/246/113/22_60.png,60,68,90,69,76,70,LM
Domagoj Bradarić,https://cdn.sofifa.com/players/252/000/22_60.png,55,68,79,70,75,68,LB
Gianluca Caprari,https://cdn.sofifa.com/players/202/848/22_60.png,70,70,84,20,81,49,RW
Nemanja Radonjić,https://cdn.sofifa.com/players/243/656/22_60.png,71,71,88,30,75,58,LM
Yacine Adli,https://cdn.sofifa.com/players/243/627/22_60.png,70,75,62,66,75,66,CM
Etrit Berisha,https://cdn.sofifa.com/players/189/296/22_60.png,74,66,74,28,76,74,GK
Tomás Chancalay,https://cdn.sofifa.com/players/241/026/22_60.png,74,73,81,40,76,60,RM
Anders Christiansen,https://cdn.sofifa.com/players/199/792/22_60.png,72,73,75,65,78,73,CM
Sergio Postigo Redondo,https://cdn.sofifa.com/players/214/639/22_60.png,43,54,67,76,57,74,CB
Franco Vázquez,https://cdn.sofifa.com/players/207/471/22_60.png,78,77,49,58,77,71,CAM
Óscar Mingueza García,https://cdn.sofifa.com/players/259/694/22_60.png,35,66,78,75,64,75,CB
Jens Stryger Larsen,https://cdn.sofifa.com/players/193/133/22_60.png,61,72,79,70,74,77,RM
Lautaro Acosta,https://cdn.sofifa.com/players/188/268/22_60.png,70,71,83,52,76,62,LW
Jorgino Silas Ruiz Prestes,https://cdn.sofifa.com/players/230/252/22_60.png,57,68,70,76,74,64,CDM
Steven Zuber,https://cdn.sofifa.com/players/190/059/22_60.png,73,73,75,71,73,75,LM
Max Aarons,https://cdn.sofifa.com/players/240/060/22_60.png,42,64,81,70,75,71,RWB
Murilo Cerqueira Paim,https://cdn.sofifa.com/players/240/115/22_60.png,36,52,72,76,57,78,CB
Fernando Calero Villa,https://cdn.sofifa.com/players/240/289/22_60.png,45,67,65,76,68,74,CB
Carles Pérez Sayol,https://cdn.sofifa.com/players/240/654/22_60.png,73,66,81,36,80,62,CAM
Oliver Skipp,https://cdn.sofifa.com/players/241/042/22_60.png,46,67,62,71,67,70,CDM
Brandon Williams,https://cdn.sofifa.com/players/243/414/22_60.png,57,65,80,70,73,68,RB
Alejandro Centelles Plaza,https://cdn.sofifa.com/players/241/470/22_60.png,51,68,77,69,71,74,LB
Borna Barišić,https://cdn.sofifa.com/players/241/673/22_60.png,60,75,76,70,71,77,LB
Manuel Vallejo Galván,https://cdn.sofifa.com/players/241/686/22_60.png,76,68,74,43,77,63,ST
Martín Aguirregabiria,https://cdn.sofifa.com/players/241/827/22_60.png,35,63,66,74,69,65,RB
Omar Fernández,https://cdn.sofifa.com/players/241/990/22_60.png,65,68,83,34,79,65,LM
Francisco Reis Ferreira,https://cdn.sofifa.com/players/242/236/22_60.png,43,54,52,76,59,75,CB
Jorman Campuzano,https://cdn.sofifa.com/players/242/267/22_60.png,40,62,75,73,64,75,CDM
Giangiacomo Magnani,https://cdn.sofifa.com/players/242/392/22_60.png,35,47,78,76,50,72,CB
Cheick Doucouré,https://cdn.sofifa.com/players/242/619/22_60.png,56,69,70,72,74,76,CM
Imran Louza,https://cdn.sofifa.com/players/242/794/22_60.png,64,74,61,63,77,52,CM
Enock Mwepu,https://cdn.sofifa.com/players/243/231/22_60.png,73,71,82,71,75,79,CAM
Orkun Kökçü,https://cdn.sofifa.com/players/243/245/22_60.png,70,76,71,55,78,70,CAM
Marius Wolf,https://cdn.sofifa.com/players/224/425/22_60.png,70,70,84,67,75,76,RM
Hyeon Woo Jo,https://cdn.sofifa.com/players/212/432/22_60.png,71,60,76,51,81,73,GK
Nikola Maksimović,https://cdn.sofifa.com/players/215/466/22_60.png,28,47,58,77,54,77,CB
Ben Pearson,https://cdn.sofifa.com/players/213/689/22_60.png,49,63,70,72,70,84,CDM
Cristian Lema,https://cdn.sofifa.com/players/215/228/22_60.png,49,56,35,76,39,82,CB
Mateusz Klich,https://cdn.sofifa.com/players/192/955/22_60.png,72,74,66,61,73,75,CM
Cheick Doucouré,https://cdn.sofifa.com/players/242/619/22_60.png,56,69,70,72,74,76,CM
Ayrton Lucas Dantas de Medeiros,https://cdn.sofifa.com/players/231/355/22_60.png,55,65,84,67,76,76,LB
Jean-Louis Leca,https://cdn.sofifa.com/players/153/275/22_60.png,72,76,75,45,77,73,GK
Florian Niederlechner,https://cdn.sofifa.com/players/211/899/22_60.png,76,63,72,35,73,79,ST
Jordi Quintillà Guasch,https://cdn.sofifa.com/players/210/619/22_60.png,69,75,68,63,76,66,CM
Rodrigo Battaglia,https://cdn.sofifa.com/players/219/576/22_60.png,67,67,63,77,72,78,CDM
Haris Belkebla,https://cdn.sofifa.com/players/224/444/22_60.png,49,71,60,70,72,73,CDM
Bouna Sarr,https://cdn.sofifa.com/players/204/472/22_60.png,70,73,73,68,75,72,RB
Fernando Navarro,https://cdn.sofifa.com/players/186/551/22_60.png,65,74,86,68,73,69,RB
Joël Drommel,https://cdn.sofifa.com/players/228/279/22_60.png,73,77,75,51,77,74,GK
Stefan Posch,https://cdn.sofifa.com/players/223/671/22_60.png,29,50,71,79,43,71,CB
Ibrahim Amadou,https://cdn.sofifa.com/players/211/382/22_60.png,55,65,64,73,71,80,CDM
James Forrest,https://cdn.sofifa.com/players/200/630/22_60.png,71,69,85,52,79,60,RW
Marcos André de Sousa Mendonça,https://cdn.sofifa.com/players/252/084/22_60.png,78,59,76,38,72,73,ST
Jaume Doménech Sánchez,https://cdn.sofifa.com/players/220/604/22_60.png,77,74,73,58,75,71,GK
Khéphren Thuram,https://cdn.sofifa.com/players/247/246/22_60.png,61,70,75,73,76,76,CDM
Ryan Fraser,https://cdn.sofifa.com/players/207/807/22_60.png,71,70,84,46,78,55,LM
Maciej Rybus,https://cdn.sofifa.com/players/186/347/22_60.png,69,72,77,71,72,68,LB
Fidel Martínez,https://cdn.sofifa.com/players/191/164/22_60.png,72,65,88,32,75,69,ST
Max Aarons,https://cdn.sofifa.com/players/240/060/22_60.png,42,64,81,70,75,71,RWB
Romain Del Castillo,https://cdn.sofifa.com/players/231/612/22_60.png,68,72,77,39,79,65,CAM
Takehiro Tomiyasu,https://cdn.sofifa.com/players/232/938/22_60.png,32,63,68,76,69,77,CB
Juan Camilo Hernández,https://cdn.sofifa.com/players/237/034/22_60.png,75,65,83,42,73,73,ST
James Tomkins,https://cdn.sofifa.com/players/173/546/22_60.png,32,56,33,77,48,68,CB
Paolo Goltz,https://cdn.sofifa.com/players/214/763/22_60.png,55,66,55,75,59,81,CB
Silas Katompa Mvumpa,https://cdn.sofifa.com/players/245/940/22_60.png,71,61,87,52,81,68,ST
Alfonso Espino,https://cdn.sofifa.com/players/247/131/22_60.png,61,64,79,71,71,75,LB
Vítor Tormena de Farias,https://cdn.sofifa.com/players/246/098/22_60.png,36,58,53,77,59,77,CB
Adrià Giner Pedrosa,https://cdn.sofifa.com/players/246/113/22_60.png,60,68,90,69,76,70,LM
Julián Álvarez,https://cdn.sofifa.com/players/246/191/22_60.png,74,72,84,46,75,62,CAM
Amos Pieper,https://cdn.sofifa.com/players/246/836/22_60.png,32,53,68,78,53,74,CB
Mohamed Ihattaren,https://cdn.sofifa.com/players/246/960/22_60.png,68,75,73,40,81,64,CAM
Alex Král,https://cdn.sofifa.com/players/247/028/22_60.png,70,71,75,72,75,79,CDM
Dávid Hancko,https://cdn.sofifa.com/players/247/103/22_60.png,55,68,77,75,68,77,CB
Silas Katompa Mvumpa,https://cdn.sofifa.com/players/245/940/22_60.png,71,61,87,52,81,68,ST
Caleb Ekuban,https://cdn.sofifa.com/players/239/795/22_60.png,71,66,86,28,73,84,RM
Asmir Begović,https://cdn.sofifa.com/players/172/723/22_60.png,77,73,76,48,74,73,GK
Niclas Füllkrug,https://cdn.sofifa.com/players/205/431/22_60.png,76,62,63,36,69,73,ST
Tom Davies,https://cdn.sofifa.com/players/230/005/22_60.png,64,73,65,69,75,71,CM
Ulises Dávila,https://cdn.sofifa.com/players/190/581/22_60.png,75,72,76,45,78,69,CAM
Aleš Mandous,https://cdn.sofifa.com/players/263/286/22_60.png,78,76,76,19,74,76,GK
Pedro Mba Obiang Avomo,https://cdn.sofifa.com/players/200/054/22_60.png,59,71,58,76,72,72,CDM
Sam Larsson,https://cdn.sofifa.com/players/209/782/22_60.png,72,73,76,38,80,59,CAM
Ionuț Andrei Radu,https://cdn.sofifa.com/players/234/102/22_60.png,69,72,79,40,80,75,GK
Ivan Schranz,https://cdn.sofifa.com/players/263/287/22_60.png,76,63,83,30,72,73,ST
Laurent Abergel,https://cdn.sofifa.com/players/213/367/22_60.png,49,68,72,71,73,75,CDM
Kaíque Osvaldo Castro Rodrigues,https://cdn.sofifa.com/players/230/323/22_60.png,76,61,77,36,73,72,GK
Thomas Vermaelen,https://cdn.sofifa.com/players/157/304/22_60.png,58,68,51,76,58,69,CB
Maximilian Eggestein,https://cdn.sofifa.com/players/226/168/22_60.png,67,72,63,70,77,76,CM
Sead Kolašinac,https://cdn.sofifa.com/players/207/993/22_60.png,62,68,75,71,71,86,LB
Connor Roberts,https://cdn.sofifa.com/players/225/147/22_60.png,48,65,80,68,68,72,RWB
İrfan Can Kahveci,https://cdn.sofifa.com/players/225/403/22_60.png,68,76,77,65,78,71,CAM
Danny Rose,https://cdn.sofifa.com/players/169/595/22_60.png,58,71,72,74,75,68,LB
Fabian Lustenberger,https://cdn.sofifa.com/players/177/019/22_60.png,37,60,46,77,64,73,CB
Alexander Barboza,https://cdn.sofifa.com/players/229/749/22_60.png,57,60,51,73,63,85,CB
Gyrano Kerk,https://cdn.sofifa.com/players/225/653/22_60.png,70,65,93,34,75,74,RM
Ryan Babel,https://cdn.sofifa.com/players/157/301/22_60.png,79,71,77,39,77,75,ST
Pierrick Capelle,https://cdn.sofifa.com/players/209/781/22_60.png,72,75,67,69,74,70,RM
Marash Kumbulla,https://cdn.sofifa.com/players/245/426/22_60.png,32,53,49,77,56,76,CB
Andreas Bouchalakis,https://cdn.sofifa.com/players/223/922/22_60.png,72,74,57,71,71,77,CM
Iván Piris,https://cdn.sofifa.com/players/204/977/22_60.png,48,62,83,70,70,74,RB
Mohamed Ihattaren,https://cdn.sofifa.com/players/246/960/22_60.png,68,75,73,40,81,64,CAM
Julián Álvarez,https://cdn.sofifa.com/players/246/191/22_60.png,74,72,84,46,75,62,CAM
Mahdi Camara,https://cdn.sofifa.com/players/243/631/22_60.png,57,67,63,73,71,72,CDM
Pedro Miguel Martins Santos,https://cdn.sofifa.com/players/211/119/22_60.png,71,73,76,64,75,64,LM
Kaan Ayhan,https://cdn.sofifa.com/players/207/790/22_60.png,53,71,64,76,68,75,CB
Jean-Philippe Mateta,https://cdn.sofifa.com/players/236/461/22_60.png,73,53,69,32,71,77,ST
Uílson de Souza Paula Júnior,https://cdn.sofifa.com/players/192/427/22_60.png,55,72,80,70,75,67,RB
Yacine Adli,https://cdn.sofifa.com/players/243/627/22_60.png,70,75,62,66,75,66,CM
Takefusa Kubo,https://cdn.sofifa.com/players/237/681/22_60.png,66,68,81,39,83,56,CAM
Ghislain Konan,https://cdn.sofifa.com/players/235/634/22_60.png,48,68,79,70,75,71,LB
Lisandro López,https://cdn.sofifa.com/players/142/707/22_60.png,77,70,63,49,73,65,ST
Christian Kabasele,https://cdn.sofifa.com/players/190/324/22_60.png,50,51,67,76,61,76,CB
Oscar Dorley,https://cdn.sofifa.com/players/254/909/22_60.png,55,74,85,68,79,69,LM
Salvador Sevilla López,https://cdn.sofifa.com/players/158/144/22_60.png,72,79,44,69,71,64,CDM
Harold Moukoudi,https://cdn.sofifa.com/players/228/732/22_60.png,32,51,53,75,48,80,CB
Franck Honorat,https://cdn.sofifa.com/players/220/876/22_60.png,73,71,77,47,76,57,RM
Jesus Fabrício Andrade Simões,https://cdn.sofifa.com/players/230/354/22_60.png,46,67,71,75,73,72,RB
Alexandre Rodrigues da Silva,https://cdn.sofifa.com/players/180/175/22_60.png,74,69,77,32,76,69,ST
Sebastián Vegas,https://cdn.sofifa.com/players/219/087/22_60.png,55,63,73,74,67,80,CB
Khéphren Thuram,https://cdn.sofifa.com/players/247/246/22_60.png,61,70,75,73,76,76,CDM
Aaron Ramsdale,https://cdn.sofifa.com/players/233/934/22_60.png,73,71,78,49,78,71,GK
Rodrigo Ely,https://cdn.sofifa.com/players/202/445/22_60.png,32,44,51,76,52,77,CB
Nampalys Mendy,https://cdn.sofifa.com/players/198/861/22_60.png,54,69,67,74,74,71,CDM
Marcelino Moreno,https://cdn.sofifa.com/players/235/467/22_60.png,68,73,89,59,83,63,CAM
Guido Herrera,https://cdn.sofifa.com/players/215/251/22_60.png,73,73,75,58,77,75,GK
Umar Sadiq,https://cdn.sofifa.com/players/231/627/22_60.png,75,57,83,30,72,73,ST
Kortney Hause,https://cdn.sofifa.com/players/210/635/22_60.png,45,60,61,74,59,79,CB
Gabriel Vasconcelos F.,https://cdn.sofifa.com/players/201/931/22_60.png,73,68,77,36,77,75,GK
Víctor Guzmán,https://cdn.sofifa.com/players/229/034/22_60.png,72,73,75,69,76,74,CAM
Enes Ünal,https://cdn.sofifa.com/players/223/197/22_60.png,77,64,68,36,76,77,ST
Francisco José Beltrán Peinado,https://cdn.sofifa.com/players/235/997/22_60.png,56,75,63,75,78,66,CDM
Alexis Mac Allister,https://cdn.sofifa.com/players/239/837/22_60.png,76,77,70,56,74,62,CAM
Romain Hamouma,https://cdn.sofifa.com/players/192/722/22_60.png,76,75,67,42,78,64,CAM
Andrei Girotto,https://cdn.sofifa.com/players/226/515/22_60.png,65,66,55,77,67,73,CB
Daniel Clayton Fachini Lobato,https://cdn.sofifa.com/players/230/336/22_60.png,43,67,66,74,68,70,CDM
Giangiacomo Magnani,https://cdn.sofifa.com/players/242/392/22_60.png,35,47,78,76,50,72,CB
Andrés Cubas,https://cdn.sofifa.com/players/222/429/22_60.png,52,68,69,74,73,59,CDM
Giorgi Mamardashvili,https://cdn.sofifa.com/players/262/621/22_60.png,77,71,76,45,79,76,GK
Danilo Teodoro Soares,https://cdn.sofifa.com/players/216/283/22_60.png,59,66,73,73,76,69,LB
Valerio Verre,https://cdn.sofifa.com/players/205/531/22_60.png,74,74,70,65,75,66,CAM
François Kamano,https://cdn.sofifa.com/players/224/218/22_60.png,73,67,85,35,77,61,RM
Marko Pjaca,https://cdn.sofifa.com/players/229/593/22_60.png,67,74,76,41,82,63,LW
Demarai Gray,https://cdn.sofifa.com/players/220/633/22_60.png,71,67,86,37,80,55,CAM
Magnus Wolff Eikrem,https://cdn.sofifa.com/players/153/048/22_60.png,70,79,62,44,75,46,CAM
Rubens Jairo Freitosa Costa,https://cdn.sofifa.com/players/230/355/22_60.png,64,73,64,68,71,76,CM
Ahmed Hegazi,https://cdn.sofifa.com/players/210/648/22_60.png,20,50,48,76,54,82,CB
Tomasz Kędziora,https://cdn.sofifa.com/players/210/136/22_60.png,46,67,77,73,64,74,RB
Stéphane Bahoken,https://cdn.sofifa.com/players/203/736/22_60.png,74,57,77,24,73,73,ST
Brandon Williams,https://cdn.sofifa.com/players/243/414/22_60.png,57,65,80,70,73,68,RB
Alberth Elis,https://cdn.sofifa.com/players/236/245/22_60.png,71,63,90,31,78,74,ST
Łukasz Skorupski,https://cdn.sofifa.com/players/189/908/22_60.png,72,54,78,51,81,74,GK
Todd Cantwell,https://cdn.sofifa.com/players/225/748/22_60.png,68,72,72,39,78,51,CAM
Vedat Muriqi,https://cdn.sofifa.com/players/223/710/22_60.png,75,55,56,28,67,82,ST
Fernando Zampedri,https://cdn.sofifa.com/players/232/670/22_60.png,78,55,68,29,71,76,ST
Florian Kainz,https://cdn.sofifa.com/players/195/038/22_60.png,73,72,72,40,78,61,LM
Cesar Fernando Silva Melo,https://cdn.sofifa.com/players/225/733/22_60.png,78,72,79,32,75,70,CAM
Nemanja Radonjić,https://cdn.sofifa.com/players/243/656/22_60.png,71,71,88,30,75,58,LM
Jon Moncayola Tollar,https://cdn.sofifa.com/players/247/495/22_60.png,64,72,66,71,70,69,CDM
Gonzalo Bergessio,https://cdn.sofifa.com/players/171/975/22_60.png,77,60,50,33,64,73,ST
Fábio Gonçalves Abreu,https://cdn.sofifa.com/players/227/527/22_60.png,75,54,78,26,71,76,ST
Mariano Díaz Mejía,https://cdn.sofifa.com/players/221/639/22_60.png,78,61,76,45,72,78,ST
Wesley Hoedt,https://cdn.sofifa.com/players/216/774/22_60.png,46,66,57,74,59,77,CB
Joshua Eduardo Sá Madeira,https://cdn.sofifa.com/players/230/341/22_60.png,44,64,73,75,65,73,LB
Sebastián Driussi,https://cdn.sofifa.com/players/221/125/22_60.png,74,71,81,26,75,69,CAM
Arbër Zeneli,https://cdn.sofifa.com/players/221/919/22_60.png,70,70,81,35,80,59,LM
James McArthur,https://cdn.sofifa.com/players/171/972/22_60.png,66,72,53,75,73,73,CDM
Joaquín Fernández Moreno,https://cdn.sofifa.com/players/232/132/22_60.png,48,61,65,75,59,78,CB
Ondrej Duda,https://cdn.sofifa.com/players/222/148/22_60.png,73,72,65,53,79,64,CAM
Hernani Azevedo Júnior,https://cdn.sofifa.com/players/225/475/22_60.png,69,69,65,74,72,70,CDM
Luis Abram,https://cdn.sofifa.com/players/234/178/22_60.png,42,58,65,75,59,78,CB
Luciano Acosta,https://cdn.sofifa.com/players/221/634/22_60.png,67,70,79,46,82,56,CAM
Francesco Magnanelli,https://cdn.sofifa.com/players/149/185/22_60.png,55,69,55,77,63,68,CDM
Naïm Sliti,https://cdn.sofifa.com/players/205/257/22_60.png,71,72,72,34,78,68,LM
Sven Ulreich,https://cdn.sofifa.com/players/186/569/22_60.png,69,62,76,40,79,75,GK
André Filipe Brás André,https://cdn.sofifa.com/players/199/626/22_60.png,71,76,66,69,76,69,CM
Kenny Tete,https://cdn.sofifa.com/players/216/266/22_60.png,47,65,76,74,68,74,RB
Matheus Reis de Lima,https://cdn.sofifa.com/players/230/625/22_60.png,52,65,70,71,73,78,LWB
Darren Randolph,https://cdn.sofifa.com/players/169/697/22_60.png,72,67,77,43,76,73,GK
Ignacio Vidal Miralles,https://cdn.sofifa.com/players/238/305/22_60.png,55,69,77,71,70,65,RB
Jonathan Orozco,https://cdn.sofifa.com/players/163/301/22_60.png,71,81,75,59,74,75,GK
Hicham Boudaoui,https://cdn.sofifa.com/players/253/157/22_60.png,65,71,74,72,79,72,CAM
José Pedro Fuenzalida,https://cdn.sofifa.com/players/196/069/22_60.png,63,71,87,64,79,67,RM
Óscar Trejo,https://cdn.sofifa.com/players/173/030/22_60.png,72,75,71,69,79,77,CAM
Christopher Jullien,https://cdn.sofifa.com/players/208/615/22_60.png,51,63,69,75,56,79,CB
Jefferson Lerma,https://cdn.sofifa.com/players/213/991/22_60.png,64,70,71,72,72,81,CDM
Jae Sung Lee,https://cdn.sofifa.com/players/221/671/22_60.png,57,75,69,53,78,62,CM
Ezequiel Barco,https://cdn.sofifa.com/players/236/007/22_60.png,68,72,82,28,79,51,CAM
Óscar Rodríguez Arnaiz,https://cdn.sofifa.com/players/239/335/22_60.png,74,74,63,49,78,55,CAM
José Juan Macías,https://cdn.sofifa.com/players/239/592/22_60.png,74,59,73,25,75,62,ST
Jean-Eudes Aholou,https://cdn.sofifa.com/players/220/905/22_60.png,64,66,67,73,69,77,CDM
Vincent Janssen,https://cdn.sofifa.com/players/226/537/22_60.png,73,62,75,39,69,84,ST
Jordan Ayew,https://cdn.sofifa.com/players/197/756/22_60.png,74,70,76,46,78,72,ST
Yimmi Chará,https://cdn.sofifa.com/players/214/132/22_60.png,69,66,91,56,78,70,RM
Unai Vencedor Paris,https://cdn.sofifa.com/players/247/328/22_60.png,70,72,66,73,73,74,CM
Pascoal Simão Muscato Vieira,https://cdn.sofifa.com/players/230/423/22_60.png,68,69,58,73,70,76,CDM
Odsonne Edouard,https://cdn.sofifa.com/players/233/866/22_60.png,74,67,83,45,79,75,CAM
Éder Balanta,https://cdn.sofifa.com/players/213/899/22_60.png,43,61,66,75,68,82,CB
Simon Deli,https://cdn.sofifa.com/players/228/236/22_60.png,46,53,69,75,64,80,CB
Alex McCarthy,https://cdn.sofifa.com/players/189/324/22_60.png,74,61,74,57,80,75,GK
Alexander Nübel,https://cdn.sofifa.com/players/223/885/22_60.png,65,71,75,47,85,76,GK
Duirval Hélton Diniz Cabral,https://cdn.sofifa.com/players/230/401/22_60.png,47,55,53,77,51,74,CB
Elias Thiago Petri Taffarel,https://cdn.sofifa.com/players/230/427/22_60.png,68,75,73,29,77,67,RM
