ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal,BestPosition
57,64,93,37,71,49,RM
63,69,67,57,73,69,CAM
56,66,41,64,68,73,CM
62,59,82,62,68,72,RB
64,66,73,45,66,68,RM
68,51,71,21,64,67,ST
36,48,67,70,50,72,CB
71,49,67,21,68,63,ST
69,58,76,27,66,70,ST
69,44,73,29,67,69,ST
51,56,57,70,56,71,CB
68,60,80,24,72,66,ST
39,59,77,64,60,74,LB
60,72,67,44,70,58,CAM
69,68,59,65,67,70,CDM
67,64,80,37,73,69,RW
64,60,87,24,74,42,LM
69,50,77,21,69,67,ST
72,64,73,33,67,67,GK
54,63,67,66,67,75,CDM
66,62,72,37,74,64,GK
68,66,70,66,69,71,LB
29,51,55,69,58,72,CB
48,60,85,61,69,66,LB
53,61,67,66,65,67,CDM
60,67,67,66,70,69,CM
60,65,71,68,69,59,RWB
63,63,76,38,73,47,RW
69,67,68,46,72,70,RW
29,49,50,67,53,80,CB
66,69,69,60,67,67,CM
69,65,74,39,69,68,ST
69,56,69,45,65,74,ST
55,62,79,62,64,77,LWB
33,59,76,67,60,65,RB
68,63,58,70,64,79,CB
66,49,76,30,69,76,ST
64,73,68,35,72,70,GK
63,60,86,26,71,50,RM
28,52,70,69,63,76,CB
42,62,38,67,57,78,CB
68,53,70,28,61,85,ST
59,68,71,46,75,51,CAM
62,61,82,49,71,56,LM
56,63,64,67,63,73,CDM
25,49,41,69,49,77,CB
68,57,81,24,73,61,ST
67,62,66,52,67,70,GK
64,69,69,59,74,54,CAM
22,38,69,71,43,73,CB
32,53,43,71,58,72,CB
33,42,35,68,42,82,CB
68,52,61,33,65,72,ST
39,57,81,64,66,63,LB
55,67,66,68,69,72,CDM
43,54,58,68,62,71,CB
67,68,69,42,68,70,GK
56,67,68,64,66,73,CM
69,73,37,55,72,56,CAM
72,64,86,36,73,66,CAM
66,69,83,60,71,69,CAM
65,65,72,48,74,65,GK
68,65,71,44,70,69,GK
23,49,57,70,42,78,CB
66,64,83,31,74,71,RM
72,63,65,26,66,70,ST
38,48,83,66,63,55,LB
69,64,67,27,68,68,ST
35,58,60,69,66,70,RB
40,59,76,62,58,74,LB
31,49,68,69,52,75,CB
62,63,86,59,70,73,RB
61,67,65,62,73,72,CAM
68,61,85,35,82,45,RW
38,56,57,70,58,71,CB
63,65,85,42,69,65,RM
57,64,79,63,62,72,LB
35,52,67,69,51,74,CB
66,67,69,29,73,69,GK
42,58,56,67,57,80,CB
61,65,71,65,68,72,RB
59,57,38,72,58,77,CB
54,64,55,67,66,73,CDM
50,59,88,61,63,73,RWB
30,53,58,67,44,79,CB
59,64,79,35,68,59,LM
55,56,54,67,59,78,CB
64,64,78,32,70,61,RM
58,66,73,62,69,69,CM
39,62,63,70,68,66,CB
67,60,69,34,73,69,GK
60,65,74,69,69,77,CDM
51,56,68,68,52,75,CB
57,66,75,60,67,61,CM
67,62,82,28,72,65,LM
69,56,74,37,67,65,ST
50,57,56,70,48,72,CB
31,50,46,70,48,75,CB
45,55,60,71,52,76,CB
70,62,66,40,65,75,ST
56,64,52,70,60,73,CDM
69,48,65,26,64,75,ST
31,45,55,68,45,75,CB
68,68,72,36,71,60,LM
69,58,77,21,72,57,ST
61,64,50,68,65,72,CDM
42,62,76,63,63,74,RB
58,63,86,44,74,53,LW
71,63,52,29,66,71,ST
70,69,54,41,70,73,ST
29,43,60,70,39,79,CB
56,65,69,66,65,78,CDM
64,69,70,31,74,66,GK
73,56,45,35,63,75,ST
67,61,84,29,72,58,RW
36,58,69,69,65,73,CB
62,66,88,46,69,64,LM
35,56,70,67,63,79,CB
34,62,86,64,70,70,LB
50,67,67,62,66,65,CM
22,39,71,70,45,77,CB
66,69,68,58,70,70,CAM
63,69,76,63,67,65,LB
71,46,69,24,73,70,GK
68,67,53,71,62,83,CB
66,60,84,34,70,72,ST
44,56,74,69,55,73,CB
63,69,61,61,67,74,CDM
64,63,57,68,55,75,CB
63,62,80,35,69,64,LW
67,62,87,32,73,56,RM
41,47,52,69,48,76,CB
68,67,75,29,72,57,RW
69,45,65,27,65,71,ST
68,71,71,16,72,65,GK
32,50,56,67,47,79,CB
71,58,75,42,67,60,ST
59,61,79,61,70,70,RB
43,55,52,69,54,78,CB
69,48,61,24,66,60,ST
54,60,70,69,64,76,CB
64,59,91,35,75,53,LM
68,55,61,31,65,76,ST
68,62,84,29,72,64,RM
63,68,65,36,77,60,CAM
71,67,72,46,71,63,CAM
69,59,79,19,71,65,ST
43,58,63,68,61,70,LWB
44,60,84,62,66,74,LB
66,60,85,37,71,57,RM
58,70,76,55,75,57,CAM
67,54,71,31,62,74,ST
36,58,72,70,60,64,CB
65,68,73,39,75,61,CAM
68,54,70,19,73,72,GK
64,68,68,23,70,71,GK
64,67,70,36,72,68,GK
66,69,65,64,70,70,CM
45,50,43,72,50,68,CB
68,60,69,26,67,68,ST
50,65,71,64,72,63,RWB
35,63,61,68,66,69,LB
66,64,71,38,69,65,GK
66,64,79,44,69,63,LM
66,65,73,53,70,63,RM
61,66,71,62,67,73,LB
44,58,84,61,67,65,RWB
39,55,84,64,60,80,RB
67,67,72,37,70,67,CAM
68,53,70,28,69,59,ST
36,54,66,68,59,78,CB
63,66,73,42,74,60,CAM
68,68,69,34,69,68,GK
68,64,85,36,69,60,RM
69,57,71,34,62,65,ST
59,67,65,60,69,61,CM
60,63,84,38,74,57,RM
37,55,63,67,52,76,CDM
54,67,85,38,71,50,CAM
55,69,69,58,68,68,CM
38,62,77,65,61,66,LB
54,59,32,70,59,64,CB
52,61,79,64,68,75,RWB
72,59,32,47,64,74,ST
68,54,86,27,70,70,ST
73,53,61,31,69,73,ST
66,66,82,49,72,55,RW
67,65,69,49,71,68,GK
46,60,84,62,67,69,LWB
46,67,80,62,73,68,RM
63,70,67,65,63,73,CDM
68,54,82,35,68,80,ST
69,68,70,57,71,68,CAM
64,62,82,34,66,72,RM
54,59,72,69,67,74,RB
67,61,78,37,69,71,ST
68,63,82,31,71,53,LM
33,46,54,69,43,74,CB
24,50,45,68,56,78,CB
59,65,78,34,74,51,CAM
40,53,87,64,65,72,RB
59,66,76,30,74,49,CAM
45,45,49,67,41,78,CB
57,68,65,65,68,78,RWB
67,63,71,33,65,67,ST
65,59,62,69,61,76,CB
72,54,76,23,66,65,ST
67,57,53,40,63,82,ST
62,66,67,65,65,65,CM
51,59,74,68,64,76,CB
65,61,70,48,73,68,GK
46,67,67,61,64,67,CM
61,64,79,26,75,48,CAM
37,53,83,64,72,67,RWB
35,54,51,66,47,78,CB
56,60,79,63,66,73,LB
66,61,80,32,70,55,RM
70,58,78,29,66,75,ST
59,50,74,70,57,71,CB
58,68,73,44,77,63,RM
52,60,71,66,69,68,CDM
63,61,69,43,72,71,GK
66,64,81,42,74,55,LM
48,60,67,67,66,72,CDM
56,63,64,65,64,76,CDM
67,65,74,36,73,60,CAM
30,42,71,69,44,77,CB
60,64,89,30,72,63,RM
60,66,65,64,69,73,CDM
58,71,66,60,70,63,CM
36,50,57,70,58,69,CB
67,51,76,33,65,75,ST
48,61,75,65,62,72,RB
59,61,80,64,69,68,RB
68,64,75,36,70,65,LM
63,60,70,44,73,69,GK
65,74,70,38,70,69,GK
63,68,66,64,69,70,CM
60,60,85,25,70,43,LM
54,70,77,51,75,57,RM
71,61,84,34,70,58,RM
51,64,74,64,64,68,LB
65,71,67,51,71,62,CAM
43,59,64,68,49,77,CB
55,52,59,71,58,70,CB
35,49,47,71,53,69,CB
50,62,79,64,68,68,LB
40,52,73,67,52,78,CB
71,56,70,30,68,66,ST
65,69,67,40,72,57,CAM
59,69,52,64,69,71,CM
65,69,75,50,72,61,CAM
35,57,50,70,49,76,CB
68,64,49,68,65,77,CB
39,48,61,69,44,70,CB
45,46,68,67,46,80,CB
72,62,63,40,64,67,ST
55,59,72,66,66,78,CDM
59,67,73,45,71,61,RM
67,69,59,45,68,69,CAM
65,63,71,48,72,71,GK
62,69,64,39,68,66,RM
24,55,61,70,49,71,CB
58,63,89,23,75,45,RM
38,45,46,68,48,81,CB
32,45,60,68,51,80,CB
69,63,69,64,67,81,CDM
65,62,60,68,63,85,CB
51,65,69,64,62,74,CDM
69,52,76,24,67,60,ST
60,70,75,50,73,69,LM
39,66,72,69,71,61,RWB
64,69,64,57,68,59,CM
49,62,60,70,65,64,LB
70,58,60,41,67,72,ST
62,61,87,37,73,47,LM
28,50,73,67,66,63,RB
39,46,69,69,66,58,LB
69,64,77,37,69,67,RM
61,62,67,33,74,52,CAM
40,57,70,66,62,79,CDM
70,58,65,22,68,67,ST
54,60,72,67,63,75,CDM
24,52,37,70,48,77,CB
32,46,45,69,41,80,CB
64,71,69,65,71,68,CAM
54,60,67,72,62,65,CDM
67,61,70,41,72,67,GK
30,50,67,68,51,75,CB
64,63,89,45,72,47,LM
44,62,67,66,59,77,LB
57,72,77,36,68,49,LW
57,69,66,62,68,64,CM
65,65,70,43,71,69,GK
50,64,62,68,68,73,RB
36,50,45,69,54,72,CB
65,52,80,30,68,60,ST
59,62,68,62,67,62,CM
53,59,44,69,55,76,CB
45,64,53,69,57,76,CDM
65,72,67,46,69,69,GK
27,57,50,70,62,72,CB
59,65,70,68,71,71,CM
69,62,85,32,73,71,RW
39,51,61,68,50,74,CB
58,66,67,67,63,67,LB
43,56,70,66,69,73,CDM
50,68,73,67,64,69,LB
68,70,69,57,72,58,CAM
63,61,83,39,71,66,LW
58,66,74,65,69,70,RB
61,73,78,57,72,60,CAM
67,59,88,33,75,69,ST
57,67,74,63,68,66,LB
43,55,53,69,59,74,CB
44,50,50,69,49,71,CB
47,63,82,62,66,71,RB
33,55,60,68,56,77,CB
32,51,52,72,56,62,CB
65,64,73,29,70,57,LM
56,69,75,54,73,66,RM
66,67,73,44,72,60,CAM
51,60,63,69,64,76,CB
71,50,74,24,67,63,ST
68,66,80,36,70,43,CAM
25,38,72,70,48,74,CB
55,66,52,70,73,70,CB
65,67,83,44,70,61,LM
70,62,68,45,70,67,GK
73,67,73,53,68,65,RM
32,51,54,67,51,80,CB
60,64,87,61,65,68,RM
69,47,55,27,64,78,ST
62,56,91,38,75,60,RW
73,51,72,26,76,51,ST
61,69,74,46,70,66,RM
69,46,68,31,68,70,GK
69,60,69,31,72,70,GK
50,63,72,67,69,58,CDM
65,66,65,60,71,70,CM
58,69,65,60,67,71,CM
64,79,70,22,71,66,GK
57,69,75,64,68,66,LB
68,69,54,67,65,74,CM
36,54,64,68,64,68,RB
39,43,53,70,47,74,CB
44,56,64,70,65,74,CB
65,53,65,42,67,80,ST
63,66,76,68,70,72,CM
62,67,63,57,69,74,CM
35,55,76,69,58,72,CB
61,66,74,66,67,75,CM
72,66,71,26,75,57,ST
63,64,71,36,73,71,GK
60,65,76,62,70,63,CAM
56,63,60,68,68,70,RB
69,60,89,30,67,77,ST
23,53,63,68,51,71,CB
59,66,57,69,67,62,RB
60,60,93,39,69,61,LM
58,61,71,35,77,58,LM
56,63,50,70,53,70,CB
66,77,70,44,70,68,GK
65,64,71,28,70,66,GK
42,63,72,65,62,75,RB
67,67,72,63,69,65,CM
59,61,65,67,66,72,RB
41,58,70,70,65,67,RB
62,66,68,64,73,64,CAM
63,66,59,62,70,66,CDM
69,62,66,42,67,68,ST
61,61,80,35,76,46,RM
54,61,66,68,63,75,CDM
66,61,85,28,73,51,RW
55,72,75,63,66,67,RM
37,62,83,62,66,67,RWB
69,58,78,41,69,69,ST
52,58,63,68,64,75,RB
68,69,72,57,70,72,LM
43,55,65,69,58,70,CB
47,57,48,67,51,82,CB
60,57,81,36,76,51,LM
72,68,63,34,69,71,GK
65,71,62,47,70,57,CAM
65,63,86,29,72,48,CAM
59,65,82,62,73,60,LM
55,66,79,42,83,55,GK
34,48,45,68,55,76,CB
73,62,70,35,70,67,CAM
60,68,63,65,66,66,LWB
59,60,87,25,73,65,RM
37,60,67,67,61,73,RB
52,70,56,68,66,70,CDM
55,61,55,70,67,71,CB
29,62,61,70,56,72,CB
42,62,64,66,64,63,RB
69,56,67,31,67,72,ST
62,67,70,67,70,70,CM
63,67,72,66,69,77,RWB
65,67,69,43,69,67,GK
30,47,59,67,54,77,CB
65,68,74,40,72,51,CAM
64,63,71,66,67,71,CDM
64,68,72,27,71,59,RM
57,61,69,69,68,73,CB
64,61,87,47,71,70,RM
49,51,71,70,58,72,CB
65,48,72,15,73,68,GK
54,64,76,47,70,61,RM
53,68,72,65,70,82,CDM
53,56,66,68,44,74,CB
64,63,84,23,74,62,LM
32,52,48,71,62,71,CB
56,62,65,69,58,70,CB
66,62,73,37,70,58,LM
54,74,69,55,74,60,CAM
66,66,70,55,68,66,RM
53,67,78,43,69,61,RM
68,66,76,37,68,61,CAM
36,43,59,69,58,71,CB
63,62,60,69,62,77,CDM
68,67,77,52,69,70,RW
46,57,67,68,62,69,RB
52,62,72,66,62,64,LB
37,54,58,71,59,57,RB
61,64,75,29,75,47,RW
63,70,66,54,70,66,CAM
54,62,57,67,63,76,CDM
52,65,76,65,69,62,RM
56,61,76,49,72,65,RM
68,69,76,66,69,74,LM
56,67,72,53,73,52,CM
54,64,70,66,69,75,CDM
61,64,73,57,72,66,CAM
68,54,68,21,69,67,ST
59,71,53,67,68,66,CDM
46,62,77,63,70,73,LB
57,62,66,63,68,77,CDM
56,67,69,67,69,70,CM
65,73,69,48,69,72,CAM
69,71,69,61,72,67,CAM
66,60,76,47,68,64,GK
75,68,43,59,67,72,ST
50,72,50,63,68,80,CDM
67,66,49,44,66,76,ST
66,65,70,47,69,67,GK
68,64,77,54,69,58,RM
57,64,57,70,60,74,CB
64,63,84,29,74,58,RM
36,54,54,70,61,73,CB
62,67,48,61,69,73,CDM
50,70,84,58,70,73,CM
46,65,70,64,54,73,LB
68,65,68,34,70,69,ST
63,61,68,67,69,72,CDM
52,64,66,66,64,74,LB
60,64,82,64,70,71,LWB
67,56,70,23,71,66,GK
53,64,71,67,67,79,CDM
29,44,31,70,41,75,CB
67,61,68,65,62,83,CB
59,63,76,51,68,68,LM
70,50,65,22,67,62,ST
48,70,73,30,69,55,RM
59,68,54,69,68,66,CDM
67,47,79,27,71,63,ST
55,68,73,62,62,74,LB
67,66,75,44,68,68,RM
60,70,64,37,69,61,CAM
55,63,41,64,63,70,CDM
40,45,62,70,51,74,CB
50,65,52,70,63,73,CB
64,70,64,58,71,63,CAM
68,56,82,30,72,53,RW
68,64,87,28,72,66,RM
69,65,78,27,69,64,ST
36,51,44,69,52,72,CB
63,71,47,70,65,70,CDM
56,61,87,40,70,56,RM
48,59,70,66,66,69,LWB
73,63,75,27,67,67,ST
60,64,69,64,72,77,CM
58,69,78,61,75,56,RM
65,64,84,33,69,53,CAM
67,65,69,28,75,58,RM
65,66,71,64,68,73,CDM
53,62,77,65,59,77,LB
58,71,70,65,65,72,RB
31,63,78,63,66,63,RWB
46,42,58,70,50,74,CB
60,63,76,64,70,66,RM
36,44,70,68,56,79,CB
67,66,70,28,69,68,GK
30,54,63,68,59,69,CB
62,57,90,54,72,64,RM
67,61,81,33,69,67,RM
67,62,74,33,70,59,ST
66,69,71,34,72,51,CAM
35,53,60,69,51,71,CB
54,65,69,68,63,69,CDM
58,64,74,31,77,47,CAM
70,52,60,31,66,66,ST
54,65,65,64,65,79,RB
65,69,73,61,71,66,LB
70,57,50,36,65,81,ST
63,68,70,61,70,65,CAM
33,48,68,70,56,70,CB
46,55,61,72,62,67,CB
67,75,69,35,72,67,GK
70,66,64,33,66,75,ST
73,65,72,35,70,64,ST
49,63,71,66,62,74,RB
32,47,48,70,54,74,CB
52,60,67,69,60,76,CB
69,51,60,28,62,68,ST
56,64,46,64,64,86,CDM
60,66,78,60,65,79,LB
70,67,69,50,71,65,GK
36,54,54,68,62,71,CB
62,77,76,31,76,55,GK
32,52,50,70,59,64,CB
70,70,64,65,69,74,CM
61,71,63,62,67,69,CDM
47,60,70,66,60,70,LB
70,52,63,30,68,75,ST
60,71,66,61,70,70,CM
49,58,54,70,61,72,CB
54,62,64,68,55,71,CDM
32,54,63,71,60,76,CB
69,57,76,28,63,79,ST
54,58,79,64,67,75,RB
39,48,59,69,47,70,CB
58,67,74,65,71,71,CM
40,47,77,68,58,78,CB
67,61,69,30,69,69,GK
29,57,89,60,68,68,RWB
64,68,67,59,64,73,CM
38,52,63,68,56,79,CB
67,35,54,30,62,79,ST
33,45,60,71,41,69,CB
65,62,81,25,70,61,ST
66,48,74,28,63,70,ST
60,64,79,63,74,73,LB
65,64,84,33,74,62,RM
64,69,78,63,70,63,RM
57,64,70,65,68,75,RB
33,51,64,71,50,73,CB
57,59,67,69,69,76,CB
64,70,79,43,75,69,CAM
70,65,79,33,72,62,RW
39,62,78,66,69,71,RB
57,69,80,55,76,51,RM
48,65,76,64,66,70,LB
48,46,68,68,52,84,CB
57,70,72,46,73,54,CAM
66,66,69,42,70,69,GK
47,57,65,69,56,76,CB
59,68,71,37,69,64,CAM
70,71,69,60,71,63,GK
66,67,36,69,67,71,CDM
69,67,79,47,72,74,RM
58,55,51,68,57,78,CB
70,63,66,18,65,75,GK
63,72,61,43,69,53,CAM
56,45,41,67,50,82,CB
50,55,55,71,57,65,CB
67,64,69,53,70,69,GK
60,67,73,58,75,64,CAM
60,69,53,64,67,68,CM
39,59,54,67,61,74,CDM
29,51,53,67,55,82,CB
62,69,47,68,67,67,CM
67,70,71,41,73,67,GK
66,61,70,45,74,69,GK
71,58,66,56,70,65,GK
58,67,66,67,66,63,LB
52,61,82,62,65,74,LB
63,63,82,39,72,58,LM
60,62,86,51,71,53,LM
62,64,62,68,68,73,CM
66,70,65,55,70,60,CAM
37,54,71,68,56,73,CB
50,65,69,66,66,56,LB
48,59,53,69,61,73,CB
49,63,65,64,63,73,CDM
29,45,57,70,54,75,CB
47,64,50,65,64,78,CDM
66,62,77,23,71,59,LM
54,61,53,71,57,72,CB
61,65,64,68,73,66,LB
53,56,50,70,54,72,CB
64,69,71,64,73,66,LB
64,69,86,32,73,45,RW
35,57,70,67,60,68,RB
60,65,73,38,70,64,RM
55,68,73,37,74,46,CAM
68,70,70,30,70,63,GK
26,54,72,70,54,70,CB
67,54,78,37,69,77,ST
54,67,68,65,70,71,CM
54,67,68,65,67,61,CDM
62,69,70,44,72,51,CAM
52,59,70,68,61,75,CB
57,69,72,38,73,54,RM
71,61,38,44,64,76,ST
62,63,78,37,73,55,RM
65,73,68,59,71,69,CAM
50,58,75,64,66,66,RWB
46,62,70,65,67,75,CDM
70,51,68,35,62,66,ST
47,63,79,65,67,70,RB
69,66,67,27,70,71,ST
50,63,60,69,63,70,CB
60,65,61,71,63,71,CB
67,49,65,27,63,74,ST
70,44,65,25,67,60,ST
71,65,79,28,69,69,ST
62,69,73,59,73,62,CAM
57,65,78,62,64,70,LB
56,65,66,65,73,72,CM
68,65,71,30,67,69,GK
70,50,76,27,68,68,ST
57,63,47,66,63,70,CDM
28,53,47,70,59,74,CB
56,62,80,67,68,69,RWB
51,65,73,66,63,71,RB
34,48,55,69,54,71,CB
28,45,40,69,49,78,CB
47,54,49,69,49,76,CB
60,63,77,63,72,65,RM
64,60,72,26,70,62,LM
64,70,68,59,68,75,CM
65,65,67,59,75,70,CAM
33,60,80,64,69,66,RWB
51,65,69,64,67,66,LB
36,49,64,70,53,73,CB
57,60,81,47,71,65,RM
68,69,60,62,70,75,CM
71,55,79,20,72,61,ST
68,65,80,32,68,67,LM
54,64,67,66,66,81,CDM
35,52,45,70,52,73,CB
63,63,78,31,73,52,CAM
36,46,43,69,49,67,CB
45,54,72,70,57,70,CB
71,65,70,26,67,72,ST
55,65,73,65,65,67,LB
72,52,72,26,68,68,ST
55,68,61,66,64,62,CDM
46,57,66,67,61,76,CB
65,60,82,35,75,63,RM
50,64,38,70,60,72,CB
61,62,85,35,77,52,CAM
60,56,73,64,63,54,RWB
66,65,82,35,71,65,LM
71,60,74,22,68,77,ST
56,66,36,67,66,69,CDM
69,63,67,34,68,61,ST
64,64,68,21,70,54,RM
22,46,56,69,51,79,CB
68,56,71,33,65,67,ST
67,71,58,32,73,59,CAM
75,52,67,20,67,64,ST
35,50,32,71,51,73,CB
37,56,78,65,63,65,LB
64,67,80,65,70,69,RM
53,59,75,64,60,76,LB
62,65,35,64,68,71,CM
61,62,83,37,76,57,CAM
69,68,69,38,70,64,CF
66,68,72,38,74,71,GK
66,54,64,31,70,61,ST
43,50,62,68,62,75,CB
59,60,80,64,68,62,RB
49,62,81,64,68,65,RWB
43,54,69,71,52,68,CB
36,59,66,69,60,74,CB
64,65,76,39,72,55,LW
58,65,76,65,70,67,RB
47,66,68,66,70,64,CM
57,60,77,65,64,73,RB
62,67,77,43,76,48,RM
27,52,33,69,51,75,CB
73,52,32,33,62,80,ST
64,65,77,31,70,63,CAM
63,66,67,63,72,69,CAM
49,54,82,63,71,66,RWB
68,75,69,41,70,67,GK
51,63,53,64,67,77,CDM
49,59,59,66,61,81,CB
68,68,70,40,73,54,CAM
64,69,76,60,69,68,LM
43,59,74,65,63,73,RB
41,61,73,64,63,68,LB
67,69,62,56,71,69,CAM
43,67,59,70,67,69,CB
71,56,58,27,62,66,ST
66,73,51,56,62,71,CM
44,58,71,64,61,76,LB
65,64,70,49,68,71,GK
72,59,57,26,58,75,ST
57,66,69,63,73,69,CM
70,69,35,69,61,69,CDM
33,51,67,72,45,71,CB
67,64,70,35,71,68,GK
43,65,75,67,64,73,LB
69,65,75,29,72,57,ST
60,65,67,65,70,79,CDM
72,69,60,50,68,66,CAM
66,69,68,36,71,67,GK
66,53,77,32,67,76,ST
68,52,74,31,69,66,ST
66,68,72,35,71,66,CAM
32,65,54,70,62,69,CB
34,58,71,65,60,71,RB
68,70,70,17,71,68,GK
32,63,65,71,55,69,CB
37,52,79,65,61,64,RB
67,65,63,64,67,78,CM
46,61,41,69,60,77,CB
68,65,67,34,68,68,ST
43,60,77,64,67,61,LB
55,66,76,43,76,55,CAM
54,59,78,61,65,68,RB
69,64,68,42,72,67,GK
70,69,71,54,69,73,RM
52,67,74,64,64,76,LWB
25,44,54,69,49,72,CB
67,66,70,49,72,63,GK
67,63,82,37,71,61,LM
68,72,69,33,71,65,GK
62,62,82,42,73,72,LM
59,67,68,65,65,69,CDM
53,62,57,67,63,78,CDM
48,62,75,68,66,81,CB
68,52,86,24,66,70,ST
38,50,77,68,51,77,CB
30,45,51,70,48,75,CB
58,57,56,67,57,81,CB
66,57,83,21,71,70,LM
44,61,76,65,63,75,LB
56,64,75,45,76,54,CAM
39,52,58,70,52,74,CB
61,64,62,68,62,69,CDM
66,68,73,42,72,67,CAM
55,62,50,67,58,72,CDM
54,68,53,62,67,73,CDM
68,58,72,38,65,70,ST
31,47,55,67,48,74,CB
69,62,70,46,67,65,GK
61,69,56,63,71,60,CM
32,49,58,69,49,68,CB
45,49,65,70,62,60,CB
70,67,68,47,67,65,GK
59,63,75,44,72,63,CAM
62,65,68,65,70,76,CM
52,57,61,67,48,75,CB
54,60,59,64,63,70,CDM
36,45,57,69,48,73,CB
59,51,62,68,61,73,CB
26,55,74,63,67,62,RB
60,66,55,68,68,71,CDM
62,61,80,32,74,51,CAM
66,63,67,28,72,65,GK
60,65,72,52,67,68,LM
68,59,75,29,73,69,RW
63,60,82,41,70,67,RM
69,51,82,20,69,56,ST
54,62,65,66,64,69,CDM
50,61,67,65,64,74,CDM
70,45,63,22,67,62,ST
69,59,86,38,66,65,ST
47,63,71,66,71,64,CDM
60,66,63,30,69,66,CAM
68,45,69,19,63,78,ST
46,62,81,59,68,70,LM
42,52,50,69,55,69,CB
68,59,72,29,66,72,ST
54,64,66,67,67,64,CDM
66,70,68,51,72,70,LM
57,67,72,63,70,69,RM
69,56,70,30,64,80,ST
53,72,64,61,67,63,CM
59,59,85,62,70,61,RM
44,60,75,66,67,67,RB
63,67,73,54,69,53,RM
35,44,33,66,42,80,CB
72,52,63,34,64,77,ST
50,63,76,62,70,52,LM
66,66,68,40,69,72,GK
56,60,77,62,64,73,LWB
68,64,80,35,69,70,RW
61,70,69,56,70,69,CAM
55,65,48,67,67,66,CDM
65,65,77,34,72,50,RM
44,60,78,62,65,64,LB
69,57,55,39,65,73,ST
66,67,67,43,67,69,GK
71,43,46,28,60,78,ST
65,63,78,52,67,65,CAM
62,61,91,47,68,53,RM
59,64,69,37,72,68,GK
67,64,86,35,70,65,RM
58,63,78,30,77,48,RM
66,65,69,30,68,69,GK
62,59,86,61,68,77,LB
62,65,68,64,64,69,CDM
53,60,55,68,58,83,CB
37,50,54,69,54,66,CB
66,55,77,21,68,64,ST
36,53,68,67,66,69,CB
63,70,72,46,69,59,LM
57,62,90,57,66,61,RM
67,61,74,28,70,67,ST
33,42,52,72,51,71,CB
38,43,44,68,49,78,CB
35,47,58,68,57,74,CB
40,61,65,65,59,82,CB
62,64,75,33,71,52,RW
45,56,74,63,64,63,RB
67,67,71,38,73,59,CAM
66,66,75,37,72,61,RW
37,54,73,68,62,72,CB
70,54,77,28,67,65,ST
53,63,65,65,63,66,CDM
37,50,72,69,57,71,CB
65,67,84,54,71,67,CAM
67,69,66,60,68,62,CAM
61,65,44,67,66,66,CM
61,59,92,43,70,57,RM
33,46,62,67,47,72,CB
63,63,80,29,70,61,RM
67,61,82,35,69,71,RM
58,67,70,60,73,67,CAM
55,61,61,67,63,66,CDM
67,66,78,46,70,67,LM
60,58,55,66,64,79,CDM
68,72,66,35,64,73,GK
65,66,67,47,67,69,GK
64,62,72,38,72,67,RM
45,63,64,69,62,70,RWB
35,41,58,69,47,70,CB
54,70,68,53,73,51,CAM
49,56,43,66,57,80,CB
60,67,62,53,69,74,CM
35,56,69,68,61,72,CB
66,61,74,34,70,72,ST
24,56,71,67,56,69,CB
59,69,69,58,74,61,CAM
56,63,61,65,64,78,CDM
67,58,80,33,65,72,ST
65,53,76,28,71,63,ST
67,53,78,21,71,56,ST
50,62,84,57,69,55,RM
64,60,86,26,74,61,RW
67,57,73,22,72,63,ST
44,59,51,68,58,73,CB
29,41,82,69,50,72,CB
67,60,87,33,76,41,ST
39,62,64,67,57,77,CB
64,66,68,32,69,67,GK
62,61,68,63,69,69,LWB
57,65,68,33,70,61,RM
72,58,55,33,60,72,ST
64,62,89,30,71,67,RM
64,67,69,62,64,72,CM
60,58,89,24,76,42,RM
67,55,69,21,66,63,ST
69,66,78,32,67,58,RM
68,64,73,54,72,68,CAM
50,62,74,64,64,72,RWB
65,48,78,25,64,76,ST
71,69,65,40,68,70,LM
64,61,71,48,69,66,GK
60,60,60,66,62,72,CB
65,57,91,36,73,65,ST
54,60,63,68,64,72,CB
32,50,51,68,50,67,CB
64,64,71,39,72,49,LM
68,58,75,32,68,67,ST
61,66,70,51,70,69,CAM
70,50,31,32,59,77,ST
25,49,41,68,43,78,CB
55,60,81,62,66,72,LB
59,69,75,58,71,65,CAM
49,55,71,64,57,54,LB
71,66,54,34,62,79,ST
37,50,55,68,56,75,CB
68,64,65,19,65,70,GK
42,54,65,70,53,70,CB
68,57,55,36,66,79,ST
58,61,83,37,77,55,LM
44,63,70,66,68,62,LWB
67,45,57,23,64,73,ST
62,64,76,50,70,62,RW
68,51,69,24,64,68,ST
45,49,67,66,49,80,CB
60,65,87,24,66,58,LM
68,60,65,47,70,68,GK
41,65,44,69,53,71,CB
60,60,79,26,74,44,RM
62,66,78,39,71,53,LM
68,67,66,39,69,68,CAM
67,62,70,43,70,65,GK
62,65,70,57,69,68,GK
64,70,74,38,71,65,CAM
69,60,77,34,70,64,ST
32,50,68,67,56,64,RB
61,59,88,24,71,49,RM
50,58,74,65,70,68,LWB
55,61,85,59,66,71,RM
58,61,86,38,65,64,LM
32,42,52,69,45,76,CB
63,63,80,42,66,64,RM
52,60,68,66,68,69,LB
37,58,78,64,61,66,RB
