ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal
69,66,76,51,74,79
69,68,75,38,75,71
63,71,64,68,69,75
66,68,77,45,73,72
57,60,78,71,56,82
67,72,70,65,71,69
61,69,79,52,75,68
69,68,72,31,74,73
72,66,74,48,72,71
31,46,69,72,55,79
63,71,75,69,74,72
60,69,79,69,75,69
51,53,74,72,63,71
45,60,92,65,71,71
71,72,72,42,73,73
73,48,75,35,74,74
73,70,70,40,77,67
72,52,82,29,74,65
74,58,63,26,70,70
48,60,76,71,69,72
67,64,63,72,69,73
66,68,81,54,74,59
65,67,87,30,78,54
43,63,65,72,68,77
70,74,70,59,73,63
47,71,58,55,78,58
70,70,78,43,73,69
71,73,73,36,74,54
31,49,71,74,63,72
56,61,88,66,69,74
70,74,64,64,75,64
70,69,78,46,72,55
34,43,67,76,52,77
73,72,74,37,74,68
71,62,72,27,73,74
76,61,55,33,72,64
71,68,35,72,68,77
72,55,75,39,68,81
73,65,70,37,72,75
62,56,56,75,62,66
63,68,79,44,77,45
70,66,72,36,74,74
64,70,67,66,73,77
49,65,81,68,69,75
69,69,70,42,74,77
73,55,78,27,71,67
74,60,78,37,73,63
53,65,63,73,63,75
73,66,80,33,76,68
67,67,81,57,73,75
32,54,60,74,54,74
42,61,60,73,60,74
67,69,79,31,77,63
41,60,74,77,51,66
41,54,33,75,57,77
75,63,68,34,65,80
59,67,84,68,73,71
62,75,68,61,75,66
65,70,67,63,76,70
62,73,69,68,76,64
63,68,90,28,75,49
67,78,69,53,78,62
71,68,75,70,71,82
71,76,72,47,74,71
41,65,78,70,65,72
75,73,66,70,74,59
75,72,68,64,75,77
47,58,62,72,67,80
60,69,73,71,69,70
50,68,70,70,70,70
54,58,67,73,63,75
71,52,85,44,69,79
72,65,73,48,74,71
75,70,77,31,74,67
67,72,58,42,78,67
43,63,72,71,72,76
69,73,67,62,73,72
67,75,67,54,75,47
74,65,74,38,75,64
63,72,65,67,74,62
75,71,72,56,73,70
73,67,85,30,74,69
71,62,72,45,75,75
71,69,67,59,73,71
49,64,54,71,67,75
62,69,69,69,76,73
62,70,74,69,72,66
63,71,79,49,75,62
41,63,65,75,65,71
69,76,52,70,72,66
72,70,77,33,76,45
50,68,69,74,61,74
37,56,62,74,61,74
51,65,63,69,71,79
42,62,68,72,64,81
40,60,75,69,63,73
34,51,33,74,53,81
42,57,73,74,54,75
44,61,57,73,55,75
60,64,86,65,69,70
38,46,63,74,51,73
61,67,76,70,69,77
68,70,78,34,73,61
64,68,60,71,64,78
59,67,54,73,68,72
67,70,73,43,76,70
70,69,75,39,76,64
62,64,86,67,74,73
69,69,79,39,74,52
73,57,71,33,69,74
70,69,77,60,77,73
70,72,66,71,70,72
71,71,67,68,74,77
43,61,57,75,61,69
73,49,51,27,67,66
64,73,53,65,71,74
64,67,81,64,72,74
56,71,77,68,71,61
55,61,75,69,70,77
73,70,72,29,74,70
72,57,62,29,69,82
72,73,67,69,70,76
70,69,72,73,69,68
44,66,68,73,67,58
52,65,67,70,64,71
71,72,64,72,70,78
43,56,52,72,55,81
77,67,80,38,73,74
75,62,51,35,69,80
39,48,42,73,49,84
70,59,86,29,68,75
48,61,57,74,61,73
71,69,83,69,75,81
67,67,52,74,66,71
64,68,91,34,75,52
60,71,66,70,68,67
72,68,77,43,76,69
57,66,76,68,74,77
32,46,51,75,56,71
71,71,72,49,73,65
59,68,69,70,70,71
44,62,88,68,72,75
48,55,41,74,50,80
69,72,71,64,76,67
41,62,81,67,67,77
58,64,66,69,74,71
48,63,79,73,68,79
73,65,85,26,75,62
69,76,74,46,77,69
73,57,75,42,71,80
28,49,47,76,55,72
49,65,70,72,69,65
69,67,78,49,77,62
69,67,71,57,75,74
72,71,74,61,75,58
51,57,67,74,63,72
68,73,72,44,76,61
41,60,65,74,61,75
70,70,75,37,73,69
48,64,54,74,58,72
75,68,32,37,72,66
40,51,62,75,59,77
67,69,81,36,75,55
71,60,82,29,69,68
69,66,75,59,75,71
30,50,75,74,57,72
68,66,73,56,75,74
58,67,66,72,70,71
67,68,76,48,72,75
74,68,82,41,76,63
72,67,71,42,71,66
69,66,85,52,75,55
65,66,71,74,62,69
55,66,77,71,73,74
73,60,73,27,74,71
71,72,66,38,73,58
66,68,65,68,69,72
75,66,88,48,75,65
67,71,84,67,77,71
65,75,68,34,74,67
53,67,72,68,71,72
62,72,72,68,71,72
62,68,56,70,68,77
53,60,79,73,63,75
68,62,92,36,77,49
69,67,77,36,78,65
58,64,88,66,74,67
69,69,70,53,76,74
67,73,73,41,79,54
63,73,77,61,75,70
69,72,75,36,75,56
43,49,62,75,53,78
40,47,58,74,39,80
61,66,71,68,71,69
64,67,78,68,72,66
53,64,77,70,74,69
50,62,86,67,73,69
53,57,59,72,56,77
74,65,72,39,73,65
47,51,49,75,53,76
75,68,51,43,64,81
67,77,32,70,70,66
74,76,64,44,75,64
71,68,72,50,74,73
57,67,54,75,68,68
63,67,66,61,75,57
27,49,53,73,48,81
37,70,73,70,66,75
33,52,71,75,59,73
46,54,57,71,56,80
66,70,71,31,74,46
29,55,64,74,58,72
60,73,72,70,73,74
77,60,65,25,74,61
57,71,73,67,73,74
54,70,79,58,71,65
67,66,74,42,79,72
68,66,76,49,76,73
69,74,71,58,74,70
71,68,78,30,73,68
74,61,68,31,71,71
63,69,84,29,75,56
61,68,87,38,76,53
71,70,78,68,72,64
71,68,84,51,73,82
74,60,78,29,73,60
69,70,70,48,74,73
65,77,60,68,72,65
69,74,56,65,70,73
45,67,73,70,72,65
27,39,53,75,48,79
68,73,65,69,76,67
56,59,85,70,70,71
75,77,56,47,75,72
74,71,76,37,75,59
71,66,86,39,74,72
64,70,72,67,73,74
41,48,54,74,53,76
69,67,83,49,74,68
59,62,93,35,77,65
74,72,78,30,78,72
40,56,66,76,62,73
49,53,73,75,53,69
59,70,65,73,75,75
72,71,65,33,76,68
56,64,84,67,69,73
67,76,75,55,74,71
74,57,54,32,69,76
71,72,77,64,76,67
32,45,36,72,51,79
74,72,68,71,71,74
72,68,73,45,75,70
70,69,65,70,69,77
48,68,71,71,71,74
72,70,70,27,75,71
70,69,72,48,74,72
72,73,69,29,74,67
44,60,79,74,67,76
69,72,69,30,73,70
43,62,75,70,68,77
31,44,56,76,58,67
51,62,70,73,64,77
57,71,68,68,76,63
71,72,75,59,74,71
37,68,67,73,60,77
63,71,77,32,77,51
64,73,71,63,70,77
66,74,77,62,76,68
73,76,60,42,74,63
38,46,60,75,56,72
64,68,41,74,64,83
52,66,74,71,68,74
67,68,88,36,77,54
48,46,75,72,62,80
75,53,66,33,63,79
71,70,74,43,70,77
63,68,34,72,66,74
44,60,81,69,67,73
66,69,78,55,79,65
33,49,77,74,48,78
60,64,77,72,65,76
69,67,59,70,74,78
46,59,49,75,64,77
31,60,39,74,62,77
71,65,73,33,75,73
65,69,84,59,77,49
74,69,65,58,72,69
65,73,69,30,79,45
63,70,62,72,74,81
72,61,82,30,71,72
56,68,66,70,75,78
53,67,80,67,71,65
72,63,72,44,70,76
73,60,76,48,75,73
71,58,68,28,67,79
71,74,64,67,70,71
58,69,37,71,68,75
73,54,65,24,68,81
59,67,70,69,70,81
68,76,72,56,73,72
66,71,78,60,75,68
64,70,86,58,74,74
67,75,69,67,72,74
52,60,70,72,67,73
68,72,73,63,74,73
64,75,60,57,76,56
46,67,75,68,76,62
78,75,59,36,73,74
34,54,49,74,57,73
70,73,75,39,72,66
71,62,73,51,72,71
71,65,75,48,76,70
60,66,71,71,71,68
76,73,58,49,75,68
32,58,75,73,65,78
69,68,73,53,74,72
48,64,64,71,70,72
65,67,80,27,74,58
73,69,74,39,70,71
42,62,86,66,69,67
49,61,66,73,59,78
63,69,83,57,76,60
54,70,75,68,67,71
67,76,54,62,72,57
62,66,62,70,66,80
73,65,73,27,74,65
65,68,76,38,79,42
59,63,72,71,69,63
67,73,74,66,74,56
62,72,68,68,79,67
72,67,80,34,80,54
72,62,81,48,69,86
57,69,72,71,69,74
36,64,61,75,62,70
53,62,80,68,71,75
73,65,79,32,75,61
63,63,83,43,80,52
71,66,85,43,76,64
75,61,45,38,65,76
46,60,63,72,59,75
64,67,81,47,79,63
68,69,68,67,70,79
67,68,72,21,82,60
74,67,74,30,73,63
38,53,58,74,58,75
75,67,56,38,71,71
74,54,82,20,71,62
61,68,85,68,73,79
66,67,76,34,74,61
34,63,75,70,69,74
69,69,85,55,73,67
64,73,60,52,75,40
74,59,67,35,68,69
53,68,71,70,70,65
75,74,70,43,72,73
71,69,78,66,71,75
74,70,79,42,72,71
74,65,91,31,74,71
73,70,88,32,75,65
66,66,79,52,79,54
74,51,64,38,66,75
45,59,78,70,62,61
59,69,66,68,71,75
75,51,75,28,61,85
78,69,82,41,71,84
75,59,55,46,71,72
65,74,70,60,75,68
65,64,93,27,75,51
39,49,38,78,52,66
64,77,65,57,71,66
38,62,71,69,67,76
53,64,71,71,70,76
59,69,68,72,68,76
50,64,84,67,71,72
70,71,75,67,77,72
70,73,71,63,73,64
62,75,63,64,77,62
72,75,72,32,73,73
67,70,72,41,81,55
66,69,79,46,74,62
73,70,65,39,71,74
57,62,73,72,66,76
60,71,67,69,74,70
76,57,88,31,74,68
44,62,71,71,68,62
62,71,49,71,66,71
72,71,72,49,74,74
71,68,79,50,76,61
31,53,52,74,58,72
72,70,72,23,77,68
73,73,71,60,74,72
65,73,72,70,73,72
60,66,77,70,68,77
60,70,78,48,78,56
61,66,85,54,74,65
70,63,81,33,71,83
40,57,53,73,59,74
73,72,34,73,66,73
35,57,70,71,57,73
70,70,80,40,74,62
67,70,68,75,72,75
73,55,51,42,67,83
73,50,65,33,65,76
75,60,55,36,70,64
46,65,71,69,68,68
64,72,71,62,75,72
69,73,73,52,76,60
37,52,60,73,54,77
36,60,74,69,70,70
69,69,76,46,75,68
67,69,76,46,73,58
70,68,72,45,73,73
65,68,77,33,72,60
57,63,85,66,70,76
60,69,78,55,72,60
71,68,67,50,72,67
73,62,86,33,72,65
46,63,79,69,73,66
52,63,75,70,66,74
46,55,33,73,50,76
54,65,44,71,63,81
75,65,64,30,77,62
70,75,50,58,72,69
70,75,64,41,75,58
70,69,68,61,69,68
63,67,90,43,75,66
66,68,85,44,72,67
74,57,62,39,66,78
70,65,90,26,77,68
67,70,71,43,72,52
76,62,82,41,74,51
66,64,79,54,74,65
66,67,88,25,77,55
26,52,79,69,66,76
40,66,68,72,61,75
52,59,66,72,60,73
68,67,81,48,74,68
72,64,74,33,72,67
41,60,69,72,66,72
61,71,68,67,72,70
73,66,78,55,74,67
65,74,74,44,78,67
49,64,68,71,68,67
69,60,72,50,79,70
70,64,86,38,71,75
68,66,74,55,74,73
70,73,86,37,77,58
70,67,81,35,75,66
69,64,86,44,67,81
29,49,58,74,56,72
70,65,69,46,74,74
40,52,64,75,64,67
52,60,65,70,59,78
69,63,76,38,74,70
30,51,68,74,58,70
47,65,64,70,66,72
61,61,67,75,70,66
67,72,65,59,74,57
74,70,64,43,74,63
70,57,77,29,69,76
63,69,78,24,79,37
66,70,68,36,74,57
68,63,88,33,72,65
71,72,80,55,74,60
69,68,71,52,76,71
73,75,67,67,72,66
49,60,60,73,60,78
73,66,92,24,77,62
40,64,82,68,64,74
69,68,73,50,75,70
70,71,70,34,73,49
73,74,71,46,74,73
44,61,79,68,71,62
45,57,75,71,62,66
64,70,70,69,72,75
68,68,83,62,70,72
45,53,32,74,45,75
74,49,70,28,70,69
71,47,73,30,57,81
61,64,78,68,65,69
62,66,83,63,70,70
73,66,82,33,75,64
42,57,54,71,63,79
72,74,71,46,73,68
65,66,68,70,73,77
74,67,71,59,73,72
46,59,56,73,50,75
39,45,68,73,60,74
73,64,80,41,75,63
66,75,64,66,73,76
61,66,77,69,72,67
61,75,58,63,72,65
68,75,72,47,74,69
61,68,83,66,75,75
62,65,82,66,69,77
72,51,74,36,65,80
72,62,76,34,74,68
64,71,84,34,70,66
65,66,56,68,72,74
45,64,59,71,69,74
65,73,67,40,73,67
74,51,64,24,67,76
67,72,72,38,74,67
69,58,65,33,69,72
70,71,77,62,74,70
58,68,77,68,75,77
72,60,73,30,71,78
66,75,67,65,72,67
44,50,66,69,52,84
51,62,85,64,71,77
33,51,62,72,47,74
71,63,88,35,76,66
65,70,82,55,75,68
69,65,71,48,73,74
49,65,44,69,61,75
43,61,78,66,71,60
61,68,70,69,67,70
71,63,74,45,75,68
61,74,67,59,71,71
69,70,68,69,71,76
66,65,84,19,79,50
51,59,74,71,63,81
60,64,77,69,70,83
69,59,86,38,75,73
37,55,35,74,52,71
73,77,70,19,70,71
70,72,73,52,75,69
74,58,92,26,70,69
68,76,66,54,73,64
54,62,78,69,68,73
69,71,72,41,74,74
71,49,69,30,71,71
65,70,69,59,72,77
39,64,76,67,70,61
60,65,71,70,69,79
65,67,71,71,71,72
54,62,74,73,64,73
71,70,76,71,72,71
68,66,76,34,76,75
69,67,76,42,70,57
71,59,66,29,70,74
71,71,81,44,75,59
70,68,70,46,72,71
48,64,69,70,64,71
65,69,84,52,73,64
72,67,67,41,71,75
49,62,84,66,69,75
41,51,64,69,55,83
39,67,64,72,65,71
52,55,39,72,52,82
68,70,70,49,76,58
29,49,53,73,51,68
71,64,85,18,75,64
71,74,72,65,72,70
67,69,76,67,72,77
65,68,77,71,76,81
35,46,53,74,49,75
60,68,72,69,70,74
64,69,82,30,78,55
70,68,72,22,75,72
34,47,72,71,55,75
72,68,67,36,73,76
70,65,71,29,75,74
60,68,67,68,71,68
66,69,71,68,70,70
36,54,66,74,50,72
65,64,75,51,76,72
27,44,33,73,48,79
25,46,38,74,34,71
63,70,81,29,77,51
28,49,72,74,61,66
54,70,67,68,73,55
65,73,63,56,73,58
74,62,56,39,64,67
69,73,74,36,72,52
71,56,68,31,68,77
44,54,63,71,59,81
44,51,54,72,59,77
60,62,87,62,70,74
61,70,75,69,72,65
39,62,60,69,66,76
57,70,79,64,69,67
37,63,63,71,69,66
51,59,58,73,61,85
71,61,86,36,75,76
56,66,53,72,64,73
67,71,76,34,75,50
40,61,70,67,70,71
42,48,62,72,54,75
68,70,60,64,74,67
67,73,56,66,71,67
73,69,77,38,71,79
69,69,78,46,78,54
73,70,66,49,71,75
64,68,84,37,74,61
48,57,39,73,63,73
72,48,76,27,71,71
74,69,72,37,71,67
62,65,63,73,67,76
55,62,65,72,68,75
71,77,61,66,69,68
27,44,51,72,51,80
51,62,76,69,69,66
35,59,78,68,67,68
70,68,84,37,73,67
65,67,87,58,74,60
55,68,67,71,65,79
61,63,87,31,80,62
68,65,88,41,78,47
73,73,81,29,71,61
69,63,74,40,75,72
69,77,51,68,67,71
72,54,52,33,66,81
53,65,68,68,66,67
73,68,79,27,75,70
63,70,71,66,71,70
64,72,59,72,73,66
71,66,78,41,76,58
62,65,79,50,79,70
72,59,62,38,71,64
40,61,71,70,69,67
41,61,73,68,68,74
51,65,69,70,69,67
68,71,50,70,68,67
51,67,85,66,71,72
64,62,77,34,77,66
54,65,70,71,68,73
70,58,70,29,70,70
68,57,91,32,74,65
60,66,78,65,71,67
56,61,78,72,61,81
55,65,50,71,66,84
52,63,66,72,73,77
29,40,65,72,45,73
35,56,58,75,61,64
50,63,73,71,67,75
44,66,75,69,71,73
74,65,79,38,69,79
72,72,58,68,73,72
39,57,52,72,53,79
71,69,75,48,75,64
74,52,68,35,70,74
73,55,71,34,66,76
53,54,35,74,55,76
44,68,82,65,70,78
40,61,73,70,64,58
55,70,64,67,66,74
72,72,68,52,73,63
59,69,70,68,69,67
43,57,36,71,52,88
66,73,75,37,73,49
41,60,69,72,61,74
70,67,71,35,72,78
48,59,59,72,61,75
67,71,73,42,73,71
28,52,75,71,62,76
40,59,65,70,61,80
53,65,72,67,68,69
43,54,60,72,51,76
60,66,82,65,75,50
73,61,71,24,72,69
67,67,81,38,75,63
72,71,77,35,75,64
65,64,80,20,75,61
72,72,71,21,69,73
28,42,65,72,47,74
70,60,75,41,75,67
71,56,85,33,67,70
72,55,66,32,71,69
47,49,41,72,47,79
35,56,42,71,48,83
70,70,72,33,68,76
71,63,79,36,75,48
74,61,41,27,68,79
76,59,75,30,76,62
63,64,85,36,74,58
71,74,72,44,73,70
75,72,68,43,71,75
57,64,86,67,73,65
72,65,71,40,70,73
72,61,76,37,72,72
72,67,66,37,77,71
62,62,87,39,77,60
70,68,66,35,74,67
71,63,89,27,70,77
64,67,84,51,74,61
49,48,51,71,49,80
62,72,75,65,77,66
41,58,67,72,45,74
54,71,69,67,75,65
63,77,71,33,75,74
70,68,83,27,73,60
41,48,43,72,39,81
64,72,69,62,74,66
62,72,74,42,74,52
58,67,60,66,67,80
71,71,59,46,70,70
59,63,68,69,72,70
74,65,72,31,73,70
59,53,40,73,51,73
69,70,78,43,73,69
69,60,79,23,70,68
67,65,84,63,71,68
67,69,75,60,73,69
68,64,72,47,74,72
56,68,57,71,66,75
57,64,53,70,70,76
71,69,77,51,69,80
65,70,57,64,69,64
58,68,81,66,77,66
26,47,51,73,57,77
68,74,63,66,74,65
69,70,68,55,76,71
45,59,64,73,60,72
45,63,78,69,66,56
72,68,73,32,72,70
71,62,67,26,74,72
49,50,58,71,55,79
30,49,66,73,61,73
65,70,41,68,63,75
67,77,64,55,80,65
68,68,77,68,70,72
71,67,76,27,76,64
69,65,66,71,71,74
46,63,79,66,68,72
69,67,71,54,75,68
37,56,61,70,55,79
73,67,72,56,71,80
73,50,55,34,60,79
70,70,57,65,70,71
64,70,82,65,69,62
61,63,94,27,73,57
68,71,78,60,74,70
73,72,60,41,70,71
55,74,64,63,72,82
69,70,87,35,72,62
68,73,64,67,69,74
54,72,49,66,72,70
36,52,65,72,58,69
61,69,68,63,72,73
76,57,63,26,66,68
69,67,77,42,72,73
69,65,73,54,75,69
60,65,73,69,71,62
72,65,80,29,75,66
69,75,53,64,72,52
72,64,69,42,67,72
56,67,83,66,70,68
73,65,85,33,76,61
69,68,76,36,72,56
72,62,72,47,74,69
65,73,75,59,75,71
64,72,68,56,72,66
68,69,76,55,75,72
67,68,80,62,74,55
54,64,63,71,64,78
64,65,81,65,70,73
60,72,47,67,69,73
60,70,69,61,73,70
48,53,46,71,57,77
46,57,62,72,56,68
54,69,75,70,73,67
37,55,60,73,61,73
66,73,69,66,73,70
62,67,74,66,69,82
68,64,89,57,72,69
51,60,92,67,72,71
54,58,71,73,60,72
63,70,73,66,70,73
64,66,65,71,70,77
71,66,86,49,71,76
65,72,71,65,76,68
69,70,66,59,72,64
63,67,77,69,72,76
52,64,69,69,66,66
51,73,48,65,65,74
41,59,60,73,53,75
71,61,75,27,72,61
38,56,52,72,56,72
76,60,53,22,66,73
72,58,73,33,70,79
63,69,66,65,64,76
54,65,70,72,65,72
73,57,71,29,73,59
68,71,76,64,72,64
48,64,54,71,66,77
34,54,61,74,44,70
74,73,74,21,76,75
55,66,75,68,71,69
73,72,72,41,72,63
51,61,66,69,65,81
69,71,70,43,72,70
67,63,92,32,74,74
68,70,70,40,75,69
70,68,73,25,74,72
26,51,66,74,53,72
31,64,76,67,67,79
60,70,48,70,68,77
70,71,76,33,75,50
76,58,76,31,75,68
69,69,70,42,76,71
43,65,76,69,66,74
59,69,76,66,72,65
71,50,73,37,68,85
76,57,77,23,64,58
68,67,72,39,75,68
58,62,73,70,67,75
65,64,74,67,72,74
69,74,70,64,79,66
69,75,66,40,74,70
50,70,75,66,69,67
56,59,39,74,58,80
69,68,82,36,74,61
46,65,70,73,68,74
55,64,76,72,68,82
70,67,79,42,71,75
68,67,80,38,76,48
59,68,78,67,71,78
26,60,65,71,63,75
71,66,73,41,74,70
69,73,65,60,76,60
47,56,74,69,57,86
69,73,80,43,74,50
61,67,68,70,68,75
66,73,53,70,72,63
66,61,53,69,65,81
75,58,72,33,63,76
55,62,81,67,72,73
56,66,82,33,71,58
65,66,85,34,77,53
72,69,76,38,71,75
60,66,72,72,65,79
52,64,76,67,70,74
57,56,69,74,52,75
71,67,84,37,72,63
70,67,74,36,77,64
47,60,64,73,56,83
66,63,92,30,74,55
65,64,77,43,76,54
64,64,67,69,70,75
37,55,87,73,63,71
70,71,70,66,70,73
51,64,72,70,65,74
67,68,77,67,71,78
68,71,75,46,72,67
46,69,72,67,73,77
72,69,70,37,72,74
47,64,58,71,66,72
71,61,58,37,65,83
67,53,78,24,71,78
63,64,73,66,71,70
48,55,71,71,63,76
47,57,52,72,52,81
60,71,66,67,71,71
37,54,53,72,62,81
38,52,67,71,62,78
48,53,47,72,55,81
65,61,73,52,75,73
67,73,65,68,70,72
46,61,61,68,67,73
60,69,74,56,76,71
68,65,90,59,75,66
37,65,76,69,68,66
36,56,77,69,67,64
73,53,82,25,63,79
70,71,55,70,76,66
68,72,85,37,75,43
72,50,72,26,71,71
65,68,83,41,75,56
44,51,43,72,50,84
57,65,73,72,69,69
51,45,40,73,42,68
30,55,41,72,53,83
34,52,59,70,55,79
59,73,69,60,73,62
66,69,74,66,65,64
70,58,74,42,76,74
32,57,57,73,54,74
71,71,74,55,73,66
60,70,75,63,78,63
75,70,59,40,71,82
69,71,62,57,74,64
65,65,85,32,78,49
72,65,83,23,75,56
66,78,44,55,72,53
67,62,85,31,81,47
49,61,83,67,67,72
30,50,53,70,52,76
41,56,46,74,52,71
36,65,80,67,71,72
73,69,83,37,74,63
59,74,70,61,72,69
40,65,67,71,65,77
68,66,80,51,75,67
69,70,61,73,71,76
35,53,61,73,57,77
33,58,81,68,70,76
69,69,74,42,73,64
69,67,71,29,73,71
70,66,56,37,71,67
72,49,76,37,66,77
69,66,73,43,72,75
70,63,91,37,75,63
68,72,72,40,72,47
70,77,73,43,70,69
34,45,47,73,49,77
67,68,73,45,74,63
68,76,38,46,73,58
60,63,86,65,74,72
67,71,72,65,69,69
74,61,67,42,72,73
57,67,72,72,65,69
68,77,64,57,77,61
28,51,42,71,52,86
64,63,71,38,77,73
42,61,69,72,65,76
65,71,67,68,70,66
30,47,45,73,45,77
71,67,72,44,73,71
67,69,82,74,74,75
30,53,68,73,64,73
33,46,47,73,49,77
57,63,71,71,66,74
74,51,63,25,68,62
57,68,50,67,72,74
53,64,68,69,71,72
53,70,74,69,72,57
71,70,66,57,74,66
59,71,67,69,70,67
60,70,38,72,58,86
66,69,78,59,76,68
66,70,53,69,70,71
69,63,86,28,75,51
46,56,63,71,53,81
66,63,86,31,76,74
71,62,76,28,73,58
46,56,67,72,58,75
56,64,70,73,67,72
67,69,72,67,74,61
70,71,72,42,73,65
73,75,46,24,75,56
51,65,67,67,68,76
63,70,59,64,73,68
65,72,62,36,73,53
74,69,59,47,70,63
57,61,91,64,69,79
36,51,75,72,55,74
70,70,73,50,72,70
64,73,69,43,73,54
78,61,58,40,65,75
70,67,71,42,76,71
72,69,81,43,73,68
55,71,69,68,71,67
69,50,89,33,68,77
63,66,58,70,70,78
70,71,57,69,69,74
64,77,63,46,72,70
67,66,83,52,75,67
51,70,60,69,69,77
73,65,80,47,75,77
72,66,59,39,69,80
69,61,74,45,74,71
72,64,57,38,66,74
44,59,64,73,65,71
63,62,64,66,70,63
48,66,84,67,71,71
56,69,82,66,71,67
34,55,63,72,49,75
68,73,70,54,74,72
52,59,38,70,59,82
60,71,51,67,69,77
56,62,74,71,65,69
45,63,62,73,68,75
62,67,76,67,75,68
47,66,70,72,62,74
25,47,61,72,44,76
69,74,64,55,73,62
70,70,76,36,71,60
64,68,68,67,72,74
74,66,71,40,70,72
71,70,76,41,73,50
66,73,68,33,75,55
70,64,82,33,75,57
72,71,75,50,71,62
72,63,65,35,66,84
63,69,81,65,68,75
67,72,67,59,74,62
43,58,79,70,56,73
68,72,77,65,69,76
45,62,68,73,67,78
67,72,63,61,70,71
64,68,83,19,74,49
66,74,74,44,77,67
75,61,74,33,73,59
69,61,81,36,73,67
66,69,78,52,68,68
32,56,64,73,55,70
51,64,73,72,68,68
69,75,69,51,74,65
70,62,63,36,67,85
35,49,39,73,55,77
39,61,64,72,60,78
67,67,64,70,68,72
71,75,72,43,73,68
60,64,74,67,71,68
67,68,81,63,73,71
65,71,71,66,72,60
71,66,65,64,75,77
42,55,55,73,54,72
34,60,71,74,64,71
66,73,56,69,71,75
62,68,72,73,73,72
69,64,84,48,73,65
71,66,68,45,70,76
71,69,65,65,71,79
55,66,78,69,63,61
65,72,68,57,70,79
72,66,90,46,73,79
73,56,79,49,64,86
45,62,72,69,70,66
34,52,63,72,64,78
46,56,91,69,69,72
56,58,59,72,60,78
64,72,63,66,74,68
72,72,71,34,73,71
48,65,63,70,65,75
61,66,80,66,73,60
71,65,72,51,69,65
36,49,55,74,49,75
72,72,82,38,71,74
63,66,73,70,70,69
74,71,75,29,71,69
56,62,62,74,62,78
72,59,68,27,68,77
64,68,82,42,74,57
64,63,94,57,71,59
61,72,75,62,76,83
55,66,40,70,64,77
65,70,74,34,79,48
52,62,76,66,65,71
51,47,37,74,41,73
56,66,67,69,78,61
69,68,70,48,80,71
66,68,55,70,68,74
70,69,73,49,74,69
75,60,52,30,68,79
67,68,78,61,75,63
24,53,87,69,56,52
65,64,80,66,71,80
57,68,74,69,72,69
54,65,79,66,69,73
70,68,72,56,72,73
71,59,61,37,71,73
61,72,73,32,74,62
70,69,76,36,75,53
69,69,71,32,77,48
71,53,83,43,70,80
41,53,81,71,57,76
43,67,68,69,64,75
75,57,50,36,66,69
59,74,76,34,76,47
68,70,70,33,75,61
38,62,70,72,61,73
49,63,78,68,73,70
70,69,71,52,73,74
68,64,73,39,76,70
44,60,50,74,56,71
63,69,71,72,72,68
67,68,65,71,70,76
61,71,74,67,76,73
69,67,70,43,75,72
67,68,58,71,68,71
65,70,79,50,75,64
37,57,65,72,65,82
63,70,74,52,75,60
59,65,69,69,69,75
66,60,93,28,76,63
49,63,90,65,70,60
64,70,59,66,72,71
58,60,64,71,63,76
58,72,75,61,77,54
72,74,54,34,75,68
69,62,71,39,77,69
69,72,67,45,75,70
45,66,61,69,65,80
71,66,82,35,77,66
53,70,71,68,71,73
64,62,83,52,72,69
51,65,70,68,69,74
55,69,65,73,67,68
69,61,79,37,77,71
28,45,43,72,52,80
73,70,72,67,73,81
72,52,61,37,61,77
70,62,66,25,65,70
66,68,82,34,76,40
37,61,77,73,66,71
68,72,74,46,71,74
33,52,41,73,55,72
71,65,70,44,68,71
68,69,66,31,76,52
59,69,81,66,71,68
66,67,72,68,73,76
66,67,60,73,68,65
64,69,75,56,73,79
46,67,48,74,64,68
72,73,69,55,71,61
73,58,69,30,71,63
53,59,56,70,61,82
68,67,83,34,76,55
66,69,69,68,71,72
69,74,60,68,68,69
61,66,45,71,62,79
57,67,82,66,72,68
52,60,72,70,69,73
66,63,81,39,70,75
63,62,92,37,75,55
53,59,49,70,61,80
41,48,65,71,47,77
55,68,64,72,66,76
64,68,76,27,79,39
52,65,72,69,63,73
57,71,64,64,76,71
71,59,71,32,67,69
71,63,85,20,71,56
41,50,57,71,61,75
69,73,63,57,72,65
42,54,59,72,59,71
75,70,71,45,70,65
34,44,65,70,51,76
70,55,73,34,68,71
63,66,70,65,71,70
71,69,69,53,75,70
69,62,75,39,73,78
45,55,56,70,63,78
66,69,70,63,71,71
66,69,70,33,74,71
65,61,83,27,75,53
67,68,70,62,71,73
67,67,71,29,73,72
45,58,67,72,56,75
65,73,67,54,74,66
49,59,91,60,77,67
56,64,60,73,63,76
61,70,73,39,76,48
51,60,70,70,63,75
66,60,92,49,71,63
63,61,85,34,74,48
74,58,68,24,65,77
38,61,82,63,69,64
69,66,87,37,73,65
42,57,74,70,60,76
73,69,74,25,75,62
66,65,79,33,74,65
31,64,72,66,68,72
71,63,68,27,74,69
54,60,39,71,59,78
45,53,33,74,51,79
39,59,75,69,63,75
57,67,76,65,67,67
45,57,70,70,69,71
39,57,67,69,60,78
